event_id,event_name,series,number,date_iso,weekday,time,venue,city,performers,entrance,announcement_text,sources,date_confidence,conflicts
ev_001,Χειμωνιάτικη προσφορά με καφεδάκι πακέτο και τσουρεκάκι MONO 2 ευρώ,Other,,2021-10-12T11:20:00.001+03:00,Tuesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Ο Χειμώνας πλησιάζει και οι προσφορές του fuit συνεχίζονται...      Ο πρώτος καφές της ημέρας είναι λένε ο καλύτερος. Πόσο μάλιστα όταν αυτός συνδυάζεται με... πρωινό. Και στο fuit φροντίζουμε και για,https://www.fuit.gr/2021/10/takeaway.html,exact,
ev_002,"""Έχουμε γλεντήσει σε πολλά πανηγύρια και δεν ντρεπόμαστε"" ",Other,,2021-02-02T19:50:00.008+02:00,Tuesday,22:00,Βασιλίτσα Ski Resort,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Ανακρίναμε τους Pindos Atletico και βγάλαμε είδηση. Στα αυτιά κλαρίνα και νέος δίσκος μετά την καραντίνα...                                                     επιμέλεια:  Γιάννης Ευαγγελόπουλος  Μερι,https://www.fuit.gr/2021/02/blog-post.html,exact,
ev_003,ΑΝΑΣΚΟΠΗΣΗ 2020 - Κι όμως υπήρξαν και ωραίες στιγμές ,ΒΛΑΞ,,2020-12-28T21:00:00.006+02:00,Monday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Το 2020 έφτασε σχεδόν στο τέλος του. Μια χρονιά που με διαφορά θα θέλαμε όλοι μαζί να αφήσουμε στο παρελθόν και να κοιτάξουμε με μεγαλύτερη αισιοδοξία το 2021. Με την ελπίδα πως θα επιστρέψουμε στην κ,https://www.fuit.gr/2020/12/2020.html,exact,
ev_004,"«Αν θες να γνωρίσεις μια πόλη, κοίτα τους τοίχους της»",Other,,2020-12-08T16:22:00.001+02:00,Tuesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Πριν από αρκετό καιρό ο παγκόσμιας φήμης streetartist – ΙΝΟ έδωσε μια ενδιαφέρουσα συνέντευξη στην εφημερίδα New York Times και μεταξύ άλλων δήλωσε:  «Αν θες να γνωρίσεις μια πόλη, κοίτα τους τοίχους ",https://www.fuit.gr/2019/05/streetart-grevena.html,exact,
ev_005,Ανάρπαστα τα νέα fuit hoodies ,Other,,2020-12-05T19:40:00.001+02:00,Saturday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Ανάρπαστα έχουν γίνει τα νέα fuit hoodies που δεν πρόλαβαν να κυκλοφορήσουν και εξαντλήθηκαν. Φίλοι μας σε όλη την Ελλάδα μας στέλνουν καθημερινά φωτογραφίες και μερικές από αυτές είπαμε να τις μοιρασ,https://www.fuit.gr/2020/11/fuit-hoodies.html,exact,
ev_006,Στο fuit art cafe μέρος των γυρισμάτων του Εya - Pindos Atletico,Other,,2020-12-02T15:13:00.001+02:00,Wednesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Το  Eya  είναι πλέον online. To νέο τραγούδι και παράλληλα το νέο τους video clip μέρος των γυρισμάτων έγιναν  στο fuit art cafe παρουσίασαν πριν από λίγες ημέρες τα δικά μας παιδιά οι  Pindos Atletic,https://www.fuit.gr/2020/09/fuit-art-cafe-ya-pindos-atletico.html,exact,
ev_007,“Δεν αργεί η στιγμή να δούμε Έλληνα ή Ελληνίδα στην κορυφή”,Other,,2020-11-28T11:30:00.001+02:00,Saturday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Free,"Η Θεοδώρα Χαντάβα κατέκτησε το πανελλήνιο πρωτάθλημα τένις, και βάζει... πλώρη για τα Grand Slam                                                        επιμέλεια:  Γιάννης Ευαγγελόπουλος  Στο άκουσμα ",https://www.fuit.gr/2020/11/blog-post.html,exact,
ev_008,1η θέση του πανελληνίου πρωταθλήματος στίβου για τη δική μας Ελένη Κουτσαλιάρη ,Other,,2020-09-08T14:49:00.007+03:00,Tuesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Επαναλαμβανόμενη σύμπτωση παύει να είναι σύμπτωση. Κι αυτό διότι κάθε φορά που  αποφασίζουμε να στηρίξουμε κάποιο ""δικό"" μας παιδί η επιτυχία είναι πλέον δεδομένη.  Ελένη Κουτσαλιάρη  μας έκανες περήφ",https://www.fuit.gr/2020/09/1.html,exact,
ev_009,Μας πήραν... χαμπάρι και στην ΚΑΘΗΜΕΡΙΝΗ,Other,,2020-08-29T18:02:00.002+03:00,Saturday,22:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"«Σκαλωμένοι» στις φιλίες της ελληνικής επαρχίας ΝΙΚΟΛΑΣ ΖΩΗΣ Στέργιος Χατζηκυριακίδης Σκαλωμένοι σε ένα μπαρ εκδ. Δίαυλος σελ. 264 Αν έχετε μεγαλώσει και σταδιοδρομήσει στην Αθήνα, αν ειδικά θεωρείτε ",https://www.fuit.gr/2020/08/blog-post_29.html; https://www.fuit.gr/2020/08/fuit-cafe-2020.html,exact,
ev_010,Αναμνηστικές κούπες fuit ,Other,,2020-07-08T12:39:00.004+03:00,Wednesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Το Fuit art cafe έχει τη χαρά και την τιμή να φιλοξενεί από την Τετάρτη 1η Ιουλίου και για τις επόμενες ημέρες την έκθεση φωτογραφίας του Κλεομένη Νικόπουλου.  Μια έκθεση με φωτογραφίες από διάφορες δ,https://www.fuit.gr/2020/07/souvenir.html; https://www.fuit.gr/2020/07/kleomenis.html,exact,
ev_011,Τα ΑΠΑΝΤΑ του Στέργιου Χατζηκυριακίδη στο fuit art cafe,Other,,2020-05-04T02:00:00.000+03:00,Monday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Το fuit art cafe ενημερώνει τους πελάτες και φίλους πως εδώ και κάποιες ημέρες τα βιβλία του Στέργιου Χατζηκυριακίδη υπάρχουν στη διάθεση σας.  ΓΚΡΟΒΕΡ  -  Σκαλωμένοι σ' ένα μπαρ  και  SHORT STORIES  ,https://www.fuit.gr/2019/11/fuit-art-cafe.html,exact,
ev_012,ΝΕΑ χειροποίητα μπρελόκ fuit - φινάκια surf ,Other,,2020-04-05T21:29:00.000+03:00,Sunday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Έκθεση φωτογραφίας με θέμα την καθημερινότητα και τη ζωή των προσφύγων που ζούνε στα Γρεβενά φιλοξενήθηκε για σχεδόν ένα μήνα στο fuit art cafe.                Φωτογραφίες τραβηγμένες από τους ίδιους ,https://www.fuit.gr/2019/10/fuit-surf.html; https://www.fuit.gr/2020/01/photoexcibition.html,exact,
ev_013,Σοκολατάκια με γκοφρέτες και σοκολάτα!,Other,,2020-02-01T13:41:00.000+02:00,Saturday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Από την πρώτη μέρα που τα βγάλαμε στο fuit με τον καφέ σας, τα αγαπήσατε. Μας ζητήσατε τη συνταγή και σας την παραθέτουμε για να τα δοκιμάσετε και με τον καφέ σπίτι σας.          Υλικά:    200 γρ. σοκ",https://www.fuit.gr/2020/01/chocolate.html,exact,
ev_014,MANITAROCK vol.14,ΒΛΑΞ,vol.04,2020-01-13T20:23:00.001+02:00,Monday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Χριστούγεννα 2019,https://www.fuit.gr/2020/01/manitarock-vol14.html; https://www.fuit.gr/2020/01/vol04.html,exact,
ev_015,Γιώργος Αβραμίδης & Invented Memories live,Other,,2019-11-26T15:12:00.000+02:00,Tuesday,22:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Μ' ένα σπουδαίο live υποδεχόμαστε τον Δεκέμβριο στο fuit art cafe. O τρομπετίστας  Γιώργος Αβραμίδης  (Γιάννης Αγγελάκας & 100 °C, ΕΚΜΕΚ, POLKAR, TUFLON) και οι  “Invented Memories” , λίγο μετά την κυ",https://www.fuit.gr/2019/11/invented-memories-live.html; https://www.fuit.gr/2019/11/1o-volley-camp.html,exact,
ev_016,"Προβολή ταινίας «¡Yallah! ¡Yallah!: Ποδόσφαιρο, Πάθος και Αντίσταση!»",Other,,2019-11-19T02:30:00.000+02:00,Tuesday,22:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Το fuit art cafe σε συνεργασία με τη Λέσχη Εργασίας Αλληλεγγύης και Πολιτισμού Γρεβενών σας προσκαλεί την  Πέμπτη 21/11  και ώρα 20.00 στην προβολή του εμβληματικού ντοκιμαντέρ,  «¡Yallah! ¡Yallah!: Π",https://www.fuit.gr/2019/11/movie.html,exact,
ev_017,Κυριακή 27 Οκτωβρίου - Απογευματινό γλέντι ,Other,,2019-10-17T12:30:00.000+03:00,Thursday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Την  Κυριακή 27 Οκτωβρίου  το fuit art cafe έχει τη χαρά και την τιμή να φιλοξενήσει για δεύτερη φορά δύο εξαιρετικούς μουσικούς - ερμηνευτές. Ο  Δημήτρης Βαβλιάρας  και ο  Γιώργος Μιχαήλ  έρχονται στ,https://www.fuit.gr/2019/10/fuit-art-cafe.html,exact,
ev_018,TUSSO Espresso με ελληνικό... DNA σε επιλεγμένα  καταστήματα Delicatessen,Other,,2019-09-24T17:26:00.000+03:00,Tuesday,22:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Η πρώτη μου γνωριμία με τον  Tusso Espresso  και την οικογένεια  Δρακούλη  ήταν πριν από 5 περίπου χρόνια στην έκθεση Horeca στην Αθήνα. Το απίστευτο design στις κούπες και η πανέμορφη συσκευασία του ,https://www.fuit.gr/2019/09/tusso.html,exact,
ev_019,Κυκλοφόρησαν τα νεά t-shirt FU(ck)IT,Other,,2019-09-16T12:32:00.000+03:00,Monday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Μπορεί το καλοκαίρι να ολοκληρώθηκε ωστόσο τα νέα μπλουζάκια  FU(ck)IT  μόλις κυκλοφόρησαν και είναι παντός καιρού... Ζητήστε τα αποκλειστικά στο  fuit art cafe.                          Keep Grevena ,https://www.fuit.gr/2019/09/tshirt.html,exact,
ev_020,Fuit art cafe... Κορυφαίο cafe της πόλης και πρώτη θέση και στο Restaurant Guru ,Other,,2019-08-21T12:27:00.002+03:00,Wednesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Οι διακρίσεις και τα... βραβεία για το  fuit art cafe  δεν σταματάνε ποτέ. Μετά την  1η θέση  στην οποία βρίσκεται ήδη (χάρη στις δικές σας θετικές κριτικές) στον κορυφαίο διαδυκτιακό ταξιδιωτικό οδηγ,https://www.fuit.gr/2019/08/fuit-spot.html,exact,
ev_021,Απογευματινό γλέντι και... street food,Other,,2019-08-05T14:27:00.000+03:00,Monday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Τα γλέντια στο  fuit  πόσο μάλιστα τα απογευματινά είναι ότι καλύτερο. Την  Παρασκευή 09 Αυγούστου  ετοιμαστείτε να ζήσουμε ένα ακόμη. Στο γνωστό μέρος (Ηλία Φάσσα 2) τη γνωστή ώρα (17.00) με πλούσιο ,https://www.fuit.gr/2019/08/street-food.html,exact,
ev_022,7 χρόνια Fuit με Pindos Atletico Live!,Other,,2019-07-28T18:47:00.001+03:00,Sunday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Στιγμές από το live των Pindos Atletico!         Φωτογραφίες,https://www.fuit.gr/2019/07/7-fuit-pindos-atletico-live.html,exact,
ev_023,"""Υπέρτατη τιμή ένα μετάλλιο με την εθνική""",Other,,2019-07-19T14:16:00.001+03:00,Friday,22:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Η Ελένη Φάρρου επέστρεψε με το ασημένιο μετάλλιο στις αποσκευές της και μιλάει για την αγάπη της για το μπάσκετ, την εθνική και τον επόμενο σταθμό της καριέρας της         Επιμέλεια: Γιάννης Ευαγγελόπ",https://www.fuit.gr/2019/07/blog-post.html; https://www.fuit.gr/2019/06/diagonismos.html; https://www.fuit.gr/2019/07/7-fuit-art-cafe.html,exact,
ev_024,7 ΧΡΟΝΙΑ FUIT - PINDOS ATLETICO LIVE ,Other,,2019-06-21T12:24:00.001+03:00,Friday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,7 ΧΡΟΝΙΑ FUIT ART CAFE - All day party         Μ' αυτά και μ' αυτά το  fuit art cafe  συμπλήρωσε  7 χρόνια λειτουργίας . Και το γιορτάζουμε μ' ένα καλοκαιρινό all day party. Ετοιμαστείτε να κάνουμε το,https://www.fuit.gr/2019/06/pindos-atletico.html; https://www.fuit.gr/2019/06/7-fuit-art-cafe-all-day-party.html,exact,
ev_025,“Η αναπηρία πρέπει να είναι... πλεονέκτημα”,Other,,2019-06-18T15:04:00.000+03:00,Tuesday,21:00,Βασιλίτσα Ski Resort,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Ο πρώτος Έλληνας αθλητής para snowboard, Κωσταντίνος Πετράκης αποθεώνει τη Βασιλίτσα και θυμάται τη φοιτητική του ζωή  στα Γρεβενά, τα οποία χαρακτηρίζει δεύτερο σπίτι του...         επιμέλεια: Γιάννη",https://www.fuit.gr/2019/06/petrakis.html,exact,
ev_026,Καλοκαιρινές πετσέτες fuit ,Other,,2019-06-12T13:26:00.001+03:00,Wednesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Το καλοκαίρι πλησιάζει και το fuit δεν θα μπορούσε να λείπει από τις διακοπές σας ή από τις παραθαλάσσιες εξορμήσεις σας. Καλοκαιρινές  πετσέτες  σε τέσσερα μοναδικά χρώματα. Μαύρη - Μωβ - Σομόν και Τ,https://www.fuit.gr/2019/06/towels.html,exact,
ev_027,Takis Kitsioulis live,Other,,2019-06-06T16:02:00.001+03:00,Thursday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Ξεκίνησε από σήμερα η προπώληση εισιτηρίων για την συναυλία του  Σωκράτη Μάλαμα  στο Σπήλαιο Γρεβενών. Το fuit art cafe ενημερώνει τους πελάτες και φίλους μας πως μέχρι την πιθανή ανακοίνωση του sold ,https://www.fuit.gr/2019/06/takis-kitsioulis-live.html; https://www.fuit.gr/2019/06/malamas.html,exact,
ev_028,5η συνάντηση Μανιταρόφιλων για την Πανελλήνια Μανιταρογιορτή ,Other,,2019-06-04T15:28:00.003+03:00,Tuesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,Την 5η τους συνάντηση για την οργάνωση της  Πανελλήνιας Γιορτής Μανιταριού  που θα διεξαχθεί φέτος στα Γρεβενά από τις 11 μέχρι τις 14 Ιουλίου πραγματοποίησαν χθες οι Μανιταρόφιλοι Δυτικής Μακεδονίας ,https://www.fuit.gr/2019/06/manitarogiorti.html; https://www.fuit.gr/2019/06/cookies.html,exact,
ev_029,Δεύτερη συνεχόμενη χρονιά Πιστοποιητικό διάκρισης στο tripadvisor για το Fuit ,Other,,2019-05-29T13:33:00.001+03:00,Wednesday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Σε μια πόλη που... κοιμάται, δεν υπάρχει τίποτα πιο ωραίο από τη  ΔΙΚΗ σας   ΑΓΑΠΗ  και  ΑΝΑΓΝΩΡΙΣΗ  γιαυτά που προσπαθούμε καθημερινά να κάνουμε. Για δεύτερη συνεχόμενη χρονιά το Fuit Art Cafe κερδίζ",https://www.fuit.gr/2019/05/tripadvisor.html,exact,
ev_030,NON SERVIAM - ROTTING CHRIST η επίσημη βιογραφία αποκλειστικά στο fuit,Other,,2019-05-27T15:21:00.000+03:00,Monday,21:00,Fuit Art Cafe,Γρεβενά,"Αλέξανδρος Χατζής, Στέργιος Χατζηκυριακίδης",Standard,"Η επίσημη βιογραφία των Rotting Christ - NON SERVIAM αποκλειστικά για τα Γρεβενά στο Fuit Art Cafe!      Έπειτα από τριάντα χρόνια αδιάλειπτης δισκογραφικής και καταιγιστικής συναυλιακής παρουσίας, εί",https://www.fuit.gr/2019/05/non-serviam-rotting-christ-fuit.html; https://www.fuit.gr/2019/05/7-years-fuit-art-cafe-video.html,exact,
